,TwonHalfDecade,constituentid_x,counts
1516,1800,87,1
1592,1800,640,1
1575,1800,508,1
1577,1800,526,1
1578,1800,527,1
1580,1800,531,1
1582,1800,542,1
1583,1800,544,1
1585,1800,567,1
1588,1800,601,1
1590,1800,636,1
1594,1800,814,1
1571,1800,479,1
1595,1800,851,1
1596,1800,896,1
1597,1800,917,1
1598,1800,950,1
1599,1800,957,1
1601,1800,1025,1
1602,1800,1040,1
1603,1800,1051,1
1604,1800,1100,1
1573,1800,481,1
1570,1800,477,1
1518,1800,95,1
1537,1800,217,1
1519,1800,97,1
1521,1800,107,1
1523,1800,134,1
1525,1800,154,1
1526,1800,160,1
1528,1800,174,1
1529,1800,186,1
1530,1800,190,1
1533,1800,194,1
1539,1800,225,1
1566,1800,453,1
1541,1800,230,1
1543,1800,235,1
1547,1800,260,1
1549,1800,271,1
1550,1800,277,1
1556,1800,390,1
1558,1800,400,1
1559,1800,417,1
1560,1800,422,1
1407,1775,1296,1
1401,1775,1125,1
1162,1725,38436,1
1400,1775,1100,1
1240,1750,1296,1
1241,1750,1297,1
1243,1750,1304,1
1246,1750,1568,1
1250,1750,7189,1
1251,1750,7193,1
1256,1750,12310,1
1267,1750,18861,1
1268,1750,19896,1
1272,1750,22131,1
1273,1750,22723,1
1276,1750,23749,1
1279,1750,24920,1
1282,1750,26356,1
1284,1750,26867,1
1285,1750,27042,1
1286,1750,27258,1
1287,1750,28418,1
1288,1750,29613,1
1290,1750,30670,1
1292,1750,32830,1
1238,1750,1286,1
1235,1750,1193,1
1231,1750,896,1
1190,1750,310,1
1163,1725,38584,1
1165,1725,47746,1
1167,1725,50417,1
1174,1750,86,1
1179,1750,168,1
1180,1750,173,1
1181,1750,190,1
1186,1750,254,1
1187,1750,259,1
1191,1750,328,1
1230,1750,851,1
1192,1750,333,1
1196,1750,398,1
1209,1750,464,1
1211,1750,471,1
1214,1750,522,1
1216,1750,544,1
1217,1750,553,1
1226,1750,640,1
1228,1750,703,1
1293,1750,34447,1
1296,1750,36172,1
1300,1750,37573,1
1379,1775,600,1
1351,1775,403,1
1357,1775,440,1
1359,1775,449,1
1365,1775,503,1
1366,1775,508,1
1367,1775,519,1
1368,1775,528,1
1375,1775,580,1
1378,1775,590,1
1380,1775,611,1
1349,1775,397,1
1381,1775,629,1
1383,1775,635,1
1384,1775,636,1
1387,1775,642,1
1388,1775,643,1
1393,1775,943,1
1394,1775,950,1
1395,1775,956,1
1398,1775,1014,1
1350,1775,398,1
1348,1775,394,1
1305,1750,48748,1
1325,1775,171,1
1308,1750,49761,1
1311,1775,33,1
1315,1775,46,1
1317,1775,55,1
1318,1775,88,1
1319,1775,106,1
1320,1775,110,1
1323,1775,167,1
1324,1775,168,1
1328,1775,196,1
1347,1775,370,1
1329,1775,203,1
1330,1775,210,1
1331,1775,211,1
1333,1775,217,1
1337,1775,236,1
1338,1775,254,1
1343,1775,317,1
1344,1775,328,1
1345,1775,346,1
747,1650,229,1
742,1650,195,1
3334,1950,634,1
187,1500,1322,1
230,1525,62,1
231,1525,106,1
232,1525,110,1
233,1525,140,1
235,1525,180,1
239,1525,215,1
240,1525,229,1
241,1525,273,1
